,pair
"('인혁당 사건', '2012년 9월 24일')",2
"('부산', '송도')",2
"('전남', '해남')",2
"('플라톤', '철학자')",1
"('인혁당 사건', '2012년 9월 12일')",1
"('육영재단', '정수장학회')",1
"('정수장학회', '김영삼')",1
"('과거사 정리위원회', '박근혜')",1
"('육영재단', '박근혜')",1
"('박근혜', '민주당 쌍용자동차대책 특별위원회')",1
"('박근혜', '광주광역시의 시민단체')",1
"('박근혜', '부일장학회')",1
"('전태삼', '전태일')",1
"('전태삼', '박근혜')",1
"('박근혜', '최태민')",1
"('지만', '근령')",1
"('최태민', '대통령')",1
"('최태민', '목사')",1
"('인민혁명당 사건', '2012년 9월 10일')",1
"('한국신문방송편집인협회 초청 토론회', '2012년 7월 16일')",1
"('비례대표 부정 경선', '2012년 6월 1일')",1
"('박근혜', '1995년부터 2005년')",1
"('전순옥', '민주통합당 국회의원')",1
"('이석기', '통합진보당')",1
"('이상돈', '새누리당')",1
"('유승민', '새누리당')",1
"('문재인', '새정치민주연합')",1
"('박근혜', '은수미')",1
"('박지원', '원내대표')",1
"('박근혜', '18대 대한민국 국회 환경노동위원회 위원')",1
"('진중권', '교수')",1
"('조국', '교수')",1
"('이상돈', '비상대책위원장')",1
"('박근혜', '정수장학회 이사장')",1
"('박정희', '교주')",1
"('노태우', '대통령')",1
"('전기영', '목사')",1
"('이건희', '삼성그룹 회장')",1
"('김영삼', '전 대통령')",1
"('인혁당 사건', '2005년')",1
"('윌리엄 라티머', '남작')",1
"('조국', '서울대학교 법학전문대학원')",1
"('7·4 남북 공동 성명', '1972년')",1
"('제너럴셔먼호 사건', '1871년')",1
"('을사조약', '1905년')",1
"('한일 월드컵', '2002년')",1
"('한국 전쟁', '1950년')",1
"('IMF 구제금융사건', '1997년')",1
"('김대중', '노무현')",1
"('박근혜', '이명박')",1
"('명성황후', '엘리스 루스벨트')",1
"('고이즈미 준이치로', '아베 신조')",1
"('하토야마 유키오 총리', '후쿠다 야스오·하토야마 유키오')",1
"('유엔 총회 결의 제195호', '1948년 12월')",1
"('운요호 사건', '1882년')",1
"('중임', '상나라')",1
"('중임', '군주')",1
"('이윤', '재상')",1
"('6·15 남북 공동선언', '2000년')",1
"('대북 석탄 밀수 사건', '2018년')",1
"('노무현', '2004년')",1
"('조국 법무부장관 임명 논란', '2019년')",1
"('문재인', '더불어민주당')",1
"('문재인', '대통령')",1
"('시어도어 루스벨트', '미국 제26대 대통령')",1
"('박근혜', '대한민국의 대통령')",1
"('시진핑', '중화인민공화국의 국가주석')",1
"('신현준', '1949년 4월 15일')",1
"('대한민국', '독도')",1
"('대한민국', '이어도')",1
"('경상남도', '진해시')",1
"('대한민국 제헌 헌법', '7월 17일')",1
"('대한민국 제헌 헌법', '1948년 7월 17일')",1
"('남북 기본 합의서', '1991년')",1
"('한미자유무역협정', '2007년')",1
"('평창 동계올림픽', '2018년')",1
"('더불어민주당원 댓글 조작 사건', '2017년')",1
"('이상일', '새누리당')",1
"('부일장학회', '김지태')",1
"('박지원', '민주당')",1
"('백두산', '간백산')",1
"('제주', '한라산')",1
"('전북', '군산시')",1
"('부안군', '계화도')",1
"('전남', '소포리')",1
"('한국', '백두산')",1
"('백두산', '소연지봉')",1
"('백두산', '소백산')",1
"('백두산', '북포태산')",1
"('해국도지', '1844년')",1
"('백두산', '두류산')",1
"('제주', '사굴')",1
"('제주', '만장굴')",1
"('제주', '협재굴')",1
"('한반도', '강원도')",1
"('경기도', '양평')",1
"('한반도', '백두산')",1
"('태백산맥', '설악산')",1
"('소백산맥', '지리산')",1
"('한국', '태백산맥')",1
"('한반도', '함경남도')",1
"('포스트모더니즘', '1980년')",1
"('백제', '마한 부족국 연맹체')",1
"('한', '준왕')",1
"('후백제', '견훤')",1
"('후고구려', '궁예')",1
"('조선', '이성계')",1
"('대조영', '고구려')",1
"('왕건', '후고구려')",1
"('이성계', '고려')",1
"('대조영', '장수')",1
"('왕건', '장수')",1
"('이성계', '장수')",1
"('고종', '황제')",1
"('동아시아', '한반도')",1
"('한반도', '평안남도')",1
"('후삼국 통일', '936년')",1
"('6.25 전쟁', '1950년 6월 25일')",1
"('삼국통일', '676년')",1
"('제주도', '거제도')",1
"('충북', '강원')",1
"('한반도', '우수리고원')",1
"('한반도', '중국')",1
"('좌구명', '주나라')",1
"('미쓰쿠리 린쇼', '근대 사상가')",1
"('미쓰쿠리 린쇼', '일본')",1
"('대한국 국제', '1899년')",1
"('뉴질랜드의 헌법', '1948년')",1
"('일본제국 헌법', '1889년')",1
"('독일 제국 헌법', '1871년')",1
"('아메리카 합중국 헌법', '1787년')",1
"('독립 국가 연합(CIS)의 헌법', '1992년')",1
"('켈젠', '라반트')",1
"('헤세', '해벌레')",1
"('미국 독립 혁명', '25년')",1
"('독도', '울릉도')",1
"('철원', '개마고원')",1
"('3·1 운동', '1919년')",1
"('독도', '제주도')",1
"('한국 전쟁', '1950년 6월 25일')",1
"('휴전 협정', '1953년 7월 27일')",1
"('부여', '옥저')",1
"('부여', '동예')",1
"('부여', '삼한')",1
"('변한', '신라')",1
"('신라', '백제')",1
"('신라', '거란')",1
"('고려', '금나라')",1
"('미국', '소련')",1
"('원나라', '공민왕')",1
"('세종', '여진족')",1
"('연해주', '한반도 북부')",1
"('한반도', '러시아')",1
"('관모봉 분지', '평남 분지')",1
"('사마천', '상나라')",1
